,idProject,nameProject,productionClass,testCase,NMC,isEagerTest,isEagerTestManual,prediction
6,2.0,carbon-apimgt,OAuth2ServiceStubsFactory,org.wso2.carbon.apimgt.core.auth.oauth2servicestubsfactorytest.testgetoauth2servicestubs,0.0,True,False,False
7,2.0,carbon-apimgt,OAuth2ServiceStubs,org.wso2.carbon.apimgt.core.auth.oauth2servicestubstest.testgetuserinfoservicestub,0.0,False,False,False
8,2.0,carbon-apimgt,AnalyticsDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.analyticsdaoimplit.testgetapicount,0.0,False,False,False
10,2.0,carbon-apimgt,AnalyticsDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.analyticsdaoimplit.testgetsubscriptionlist,0.0,False,False,True
11,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testaddgetallendpointsanduuids,0.0,False,False,False
12,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testaddgetapiwithlabels,1.0,False,True,False
14,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testattributesearchapis,1.0,False,True,False
15,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testdeleteapi,1.0,False,False,True
16,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testgetapibystatus,1.0,False,True,True
19,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testgetgatewayconfig,1.0,False,False,True
20,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testgetswaggerdefinition,1.0,False,False,True
23,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testupdateapiwithblankwsdluri,1.0,False,False,False
24,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testupdategetdedicatedgateway,1.0,False,False,False
25,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testupdategetdedicatedgatewaywhenlabelsareempty,1.0,False,False,True
27,2.0,carbon-apimgt,ApplicationDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.applicationdaoimplit.testaddandgetapplicationkeys,0.0,False,True,False
31,2.0,carbon-apimgt,PolicyDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.policydaoimplit.testaddgetupdatedeletecustompolicy,0.0,False,False,False
34,2.0,carbon-apimgt,PolicyDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.policydaoimplit.testgetapipolicywithbandwidthlimit,0.0,False,False,False
35,2.0,carbon-apimgt,PolicyDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.policydaoimplit.testgetpolicybylevelanduuuid,0.0,False,False,False
37,2.0,carbon-apimgt,SubscriptionDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.subscriptiondaoimplit.testgetsubscriptionforapplicationandkeytype,2.0,False,False,True
39,2.0,carbon-apimgt,SubscriptionDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.subscriptiondaoimplit.testgetsubscriptionsforvalidation,3.0,False,False,False
40,2.0,carbon-apimgt,TagDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.tagdaoimplit.testgettags,0.0,True,False,False
43,2.0,carbon-apimgt,WorkflowDAOIT,org.wso2.carbon.apimgt.core.dao.impl.workflowdaoit.testgetworkflowslist,0.0,False,True,False
44,2.0,carbon-apimgt,WorkflowDAOIT,org.wso2.carbon.apimgt.core.dao.impl.workflowdaoit.testupdateworkflowstatus,0.0,False,False,False
46,2.0,carbon-apimgt,LabelsApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.impl.labelsapiserviceimpltest.testlabelsgetwithlabelid,1.0,False,False,False
48,2.0,carbon-apimgt,BlacklistApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.blacklistapiserviceimpltest.blacklistconditioniddeletetest,2.0,False,False,True
49,2.0,carbon-apimgt,BlacklistApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.blacklistapiserviceimpltest.blacklistgettest,2.0,False,False,False
51,2.0,carbon-apimgt,PoliciesApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.policiesapiserviceimpltest.policiesthrottlingadvancedpolicyidputtest,2.0,False,False,False
52,2.0,carbon-apimgt,PoliciesApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.policiesapiserviceimpltest.policiesthrottlingapplicationpolicyidgettest,2.0,False,False,False
54,2.0,carbon-apimgt,PoliciesApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.policiesapiserviceimpltest.policiesthrottlingsubscriptionpolicyidgettest,2.0,False,False,False
0,2.0,carbon-apimgt,DefaultScopeRegistrationImpl,org.wso2.carbon.apimgt.core.auth.defaultscoperegistrationimpltest.testdeletescopewhileauthorizationserverthrowsinternalerror,0.0,False,False,False
1,2.0,carbon-apimgt,DefaultScopeRegistrationImpl,org.wso2.carbon.apimgt.core.auth.defaultscoperegistrationimpltest.testregisterscope,1.0,False,False,False
2,2.0,carbon-apimgt,DefaultScopeRegistrationImpl,org.wso2.carbon.apimgt.core.auth.defaultscoperegistrationimpltest.testretrievescope,0.0,False,False,True
3,2.0,carbon-apimgt,DefaultScopeRegistrationImpl,org.wso2.carbon.apimgt.core.auth.defaultscoperegistrationimpltest.testupdatescope,0.0,False,False,False
4,2.0,carbon-apimgt,SCIMGroup,org.wso2.carbon.apimgt.core.auth.dto.scimgrouptest.schemasgetterandsettertest,0.0,True,False,False
5,2.0,carbon-apimgt,SCIMGroup,org.wso2.carbon.apimgt.core.auth.dto.scimgrouptest.scimgroupmemberstest,0.0,True,False,False
9,2.0,carbon-apimgt,AnalyticsDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.analyticsdaoimplit.testgetapplicationcount,0.0,False,False,True
13,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testaddgetdeletecompositeapi,0.0,False,True,False
17,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testgetdocumentinfo,1.0,False,False,False
18,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testgetendpointbyname,0.0,False,False,True
21,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testisapinameexists,1.0,False,True,True
22,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testupdateapi,1.0,False,False,False
26,2.0,carbon-apimgt,ApiDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.apidaoimplit.testupdaterating,1.0,False,False,False
28,2.0,carbon-apimgt,ApplicationDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.applicationdaoimplit.testaddapplicationwithpermissions,1.0,False,False,False
29,2.0,carbon-apimgt,ApplicationDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.applicationdaoimplit.testgetallapplicationsforvalidation,1.0,False,True,False
30,2.0,carbon-apimgt,LabelDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.labeldaoimplit.testgetlabelbyid,0.0,False,False,False
32,2.0,carbon-apimgt,PolicyDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.policydaoimplit.testgetallpolicies,0.0,False,False,False
33,2.0,carbon-apimgt,PolicyDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.policydaoimplit.testgetapipolicies,0.0,False,False,False
36,2.0,carbon-apimgt,SubscriptionDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.subscriptiondaoimplit.testdeletesubscriptionbyapiid,0.0,False,False,False
38,2.0,carbon-apimgt,SubscriptionDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.subscriptiondaoimplit.testgetsubscriptionforvalidationbyapicontextandversion,3.0,False,False,False
41,2.0,carbon-apimgt,UserMappingDAOImplIT,org.wso2.carbon.apimgt.core.dao.impl.usermappingdaoimplit.testusernamemapping,0.0,True,False,False
42,2.0,carbon-apimgt,WorkflowDAOIT,org.wso2.carbon.apimgt.core.dao.impl.workflowdaoit.testaddworkflowentrywithoutattributes,0.0,False,False,True
45,2.0,carbon-apimgt,GenerateArchives,org.wso2.carbon.apimgt.plugin.generatearchivestest.testgeneratearchivesfromvalidbalfile,0.0,False,False,False
47,2.0,carbon-apimgt,WorkflowMappingUtil,org.wso2.carbon.apimgt.rest.api.admin.mappings.workflowmappingutiltest.testtoworkflowlistdto,0.0,False,True,False
50,2.0,carbon-apimgt,PoliciesApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.policiesapiserviceimpltest.policiesthrottlingadvancedpolicyidgettest,2.0,False,False,False
53,2.0,carbon-apimgt,PoliciesApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.policiesapiserviceimpltest.policiesthrottlingapplicationpolicyidputtest,2.0,False,False,False
55,2.0,carbon-apimgt,PoliciesApiServiceImpl,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.policiesapiserviceimpltest.policiesthrottlingsubscriptionposttest,2.0,False,False,False
56,2.0,carbon-apimgt,ApplicationThrottlePolicyMappingUtil,org.wso2.carbon.apimgt.rest.api.admin.throttling.mappings.applicationthrottlepolicymappingutiltest.fromapplicationthrottlepolicydtotomodeltest,0.0,False,False,False
