id,#Study,idProject,testCase,EagerTest,MysteryGuest,ResourceOptimism,ET_ExternalValidation1,MG_ExternalValidation1,RO_ExternalValidation1
12676,sample_79,15.0_wro4j,ro.isdc.wro.config.factory.testpropertywroconfigurationfactory.createdefaultconfig,0.0,0.0,0.0,1.0,0.0,0.0
15626,sample_79,7.0_dnsjava,org.xbill.dns.recordtest.test_fromstring_invalid,1.0,0.0,0.0,1.0,0.0,0.0
17197,sample_79,21.0_incubator-dubbo,org.apache.dubbo.common.utils.stringutilstest.testisnumeric,0.0,0.0,0.0,0.0,0.0,0.0
11949,sample_79,15.0_wro4j,ro.isdc.wro.extensions.processor.css.testlesscssprocessor.shouldusefallbackprocessorwhennodenotsupported,0.0,0.0,0.0,0.0,0.0,0.0
42327,sample_51,10.0_helios,com.spotify.helios.cli.command.jobcreatecommandtest.testjobcreatecommandfailswithinvalidfilepath,0.0,0.0,0.0,0.0,0.0,0.0
15817,sample_51,72.0_java-websocket,org.java_websocket.framing.continuousframetest.testisvalid,0.0,0.0,0.0,0.0,0.0,0.0
50932,sample_51,43.0_timely,timely.test.integration.twowaysslit.testbasicauthlogin,0.0,0.0,0.0,0.0,0.0,0.0
35139,sample_51,30.0_joda-time,org.joda.time.field.testbasedatetimefield.test_getasshorttext_rp_locale,0.0,0.0,0.0,0.0,0.0,1.0
9962,sample_45,57.0_riptide,org.zalando.riptide.requestertest.shouldexpandtwo,0.0,0.0,0.0,0.0,1.0,0.0
24880,sample_45,4.0_hdoop,org.apache.hadoop.yarn.server.federation.policies.testrouterpolicyfacade.testgethomesubcluster,0.0,0.0,0.0,0.0,0.0,0.0
20140,sample_44,4.0_hdoop,org.apache.hadoop.hdfs.client.impl.testblockreaderlocalmetrics.testslowshortcircuitreadsaveragelatencyvalue,1.0,1.0,1.0,1.0,1.0,1.0
13606,sample_44,15.0_wro4j,ro.isdc.wro.model.resource.support.change.testresourcechangeinfo.cannotupdatehashfornullgroup,0.0,0.0,0.0,0.0,0.0,0.0
31653,sample_50,4.0_hdoop,org.apache.hadoop.utils.db.testdbstorebuilder.builderwithoneparamv2,1.0,0.0,0.0,0.0,0.0,0.0
11740,sample_50,15.0_wro4j,ro.isdc.wro.extensions.processor.testnodetypescriptprocessor.testfromfolder,0.0,1.0,1.0,0.0,1.0,1.0
35043,sample_78,30.0_joda-time,org.joda.time.field.testprecisedatetimefield.test_set_rp_int_intarray_string_locale,0.0,0.0,0.0,0.0,0.0,0.0
25082,sample_78,4.0_hdoop,org.apache.hadoop.yarn.server.applicationhistoryservice.testapplicationhistoryclientservice.testapplicationnotfound,1.0,0.0,0.0,1.0,0.0,0.0
38068,sample_52,45.0_hbase,org.apache.hadoop.hbase.util.testbytebufferutils.testputint,1.0,0.0,0.0,1.0,0.0,0.0
27235,sample_52,4.0_hdoop,org.apache.hadoop.yarn.client.cli.testrmadmincli.testcheckhealth,0.0,0.0,0.0,0.0,0.0,0.0
26333,sample_53,4.0_hdoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.testfairscheduler.testqueueunamewithperiods,1.0,0.0,0.0,1.0,0.0,0.0
38933,sample_53,45.0_hbase,org.apache.hadoop.hbase.regionserver.testcompactionlifecycletracker.testrequestonstore,1.0,0.0,0.0,1.0,0.0,0.0
39086,sample_47,45.0_hbase,org.apache.hadoop.hbase.regionserver.testdatablockencodingtool.testhfileallcellswithtags,0.0,0.0,0.0,0.0,0.0,0.0
16801,sample_47,21.0_incubator-dubbo,org.apache.dubbo.container.spring.springcontainertest.testcontainer,0.0,0.0,0.0,0.0,0.0,0.0
35462,sample_47,30.0_joda-time,org.joda.time.format.testdatetimeformatter.testparseinto_monthday_withdefaultyear_feb29,0.0,0.0,0.0,0.0,0.0,0.0
41281,sample_47,45.0_hbase,org.apache.hadoop.hbase.monitoring.testmemoryboundedlogmessagebuffer.testnonasciiencoding,1.0,0.0,0.0,1.0,0.0,0.0
50321,sample_43,5.0_jfreechart,org.jfree.data.general.defaultheatmapdatasettest.testserialization,0.0,0.0,0.0,0.0,0.0,0.0
6900,sample_43,49.0_dropwizard,io.dropwizard.logging.fileappenderfactorytest.includescallerdata,0.0,0.0,0.0,0.0,0.0,0.0
25977,sample_80,4.0_hdoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.testparentqueue.testsinglelevelqueues,1.0,0.0,0.0,1.0,0.0,0.0
2547,sample_80,60.0_vertexium,org.vertexium.test.graphtestbase.testgraphqueryhas,1.0,1.0,0.0,1.0,1.0,0.0
9079,sample_137,27.0_querydsl,com.querydsl.core.util.reflectionutilstest.getimplementedinterfaces,0.0,0.0,0.0,0.0,0.0,0.0
16244,sample_137,21.0_incubator-dubbo,org.apache.dubbo.config.applicationconfigtest.testparameters,0.0,0.0,0.0,0.0,0.0,0.0
35700,sample_56,30.0_joda-time,org.joda.time.format.testperiodformat.test_wordbased_fr_from_nl,0.0,0.0,0.0,0.0,0.0,1.0
21686,sample_56,4.0_hdoop,org.apache.hadoop.tools.testdistcpsync.testsync7,0.0,1.0,0.0,0.0,1.0,0.0
48245,sample_56,38.0_carbon-apimgt,org.wso2.carbon.apimgt.rest.api.admin.throttling.impl.blacklistapiserviceimpltest.blacklistgettest,0.0,0.0,0.0,0.0,0.0,0.0
50265,sample_56,5.0_jfreechart,org.jfree.data.general.datasetutilstest.test803660,1.0,0.0,0.0,1.0,0.0,0.0
48393,sample_42,55.0_db-scheduler,com.github.kagkarlsson.scheduler.waitertest.should_wait_until_woken,1.0,0.0,0.0,1.0,0.0,0.0
928,sample_42,25.0_marine-api,net.sf.marineapi.ais.util.latitude27test.zeroisavailable,0.0,0.0,0.0,0.0,0.0,0.0
7455,sample_54,27.0_querydsl,com.querydsl.jpa.jpaprovidertest.hibernate_for_proxy,0.0,0.0,0.0,0.0,0.0,0.0
42421,sample_54,10.0_helios,com.spotify.helios.testing.defaultdeployertest.testfailsonalldown,0.0,0.0,0.0,0.0,0.0,0.0
11439,sample_40,15.0_wro4j,ro.isdc.wro.extensions.model.factory.testjsonmodelfactory.testinvalidcontent,0.0,0.0,0.0,0.0,0.0,0.0
24934,sample_40,4.0_hdoop,org.apache.hadoop.yarn.server.timeline.security.testtimelineaclsmanager.testyarnaclsnotenabledforentity,1.0,0.0,0.0,1.0,0.0,0.0
29650,sample_68,4.0_hdoop,org.apache.hadoop.util.testlinereader.testcustomdelimiter,0.0,0.0,0.0,0.0,0.0,0.0
2422,sample_68,60.0_vertexium,org.vertexium.mutation.existingelementmutationimpltest.testhaschangesproperties,0.0,0.0,0.0,0.0,0.0,0.0
7997,sample_69,27.0_querydsl,com.querydsl.sql.selectbase.preexecute,0.0,1.0,0.0,0.0,1.0,0.0
49817,sample_69,5.0_jfreechart,org.jfree.data.xy.tablexydatasettest.testtablexydataset,1.0,0.0,0.0,1.0,0.0,0.0
21796,sample_69,4.0_hdoop,org.apache.hadoop.tools.testfilebasedcopylisting.testmultifiletargetpresent,0.0,1.0,0.0,0.0,1.0,0.0
9058,sample_69,27.0_querydsl,com.querydsl.core.booleanbuildertest.tostring_,0.0,0.0,0.0,0.0,0.0,0.0
28800,sample_41,4.0_hdoop,org.apache.hadoop.mapreduce.v2.app.rm.testrmcontainerallocator.testresource,0.0,0.0,0.0,0.0,0.0,0.0
43018,sample_55,17.0_fastjson,com.alibaba.json.bvt.jsonarraytest.test_getarray_1,0.0,0.0,0.0,0.0,0.0,0.0
17888,sample_55,21.0_incubator-dubbo,org.apache.dubbo.rpc.cluster.router.condition.conditionroutertest.testroute_noforce,0.0,1.0,1.0,0.0,1.0,1.0
24351,sample_55,4.0_hdoop,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.docker.testdockerstartcommand.testgetcommandwitharguments,0.0,0.0,0.0,0.0,0.0,1.0
6325,sample_55,49.0_dropwizard,io.dropwizard.client.httpclientbuildertest.configurecredentialreturnsntcredentialsforbasicconfig,0.0,0.0,0.0,0.0,0.0,1.0
50231,sample_185,5.0_jfreechart,org.jfree.data.category.defaultintervalcategorydatasettest.testgetrowindex,0.0,0.0,0.0,0.0,1.0,0.0
12374,sample_185,15.0_wro4j,ro.isdc.wro.maven.plugin.support.testprogressindicator.shouldcomputecorrecttotalresources,0.0,0.0,0.0,0.0,0.0,0.0
4253,sample_32,18.0_admiral,com.vmware.admiral.request.requeststatusservicetest.testapicallswithoutauthentication,0.0,0.0,0.0,0.0,0.0,0.0
19558,sample_32,4.0_hdoop,org.apache.hadoop.hdfs.testdistributedfilesystem.testinvalidscriptmappingfilereadstatistics,1.0,1.0,1.0,1.0,1.0,1.0
10403,sample_7,1.0_struts,org.apache.struts2.dispatcher.mapper.restfulactionmappertest.testgeturiparamid,0.0,0.0,0.0,0.0,0.0,0.0
33646,sample_7,67.0_hutool,cn.hutool.core.util.idutiltest.benchtest,1.0,0.0,0.0,1.0,0.0,0.0
39401,sample_6,45.0_hbase,org.apache.hadoop.hbase.regionserver.testhregion.testget_empty,1.0,1.0,1.0,1.0,1.0,1.0
864,sample_6,25.0_marine-api,net.sf.marineapi.ais.parser.aispositionreportbparsertest.gettimestamp,0.0,0.0,0.0,0.0,1.0,0.0
37214,sample_6,45.0_hbase,org.apache.hadoop.hbase.testhtabledescriptor.testaddduplicatefamilies,1.0,0.0,0.0,1.0,0.0,0.0
44426,sample_6,17.0_fastjson,com.alibaba.json.bvt.path.jsonpath_field_access_filter_like.test_list_like_right_match,1.0,0.0,0.0,1.0,0.0,0.0
1774,sample_153,29.0_c2mon,cern.c2mon.server.client.request.clientrequestmessageconvertertest.testconfigurationreportmessageconversion,0.0,0.0,0.0,0.0,0.0,0.0
29642,sample_153,4.0_hdoop,org.apache.hadoop.util.testfilebasediplist.testwithmultiplesubnetandips,0.0,0.0,0.0,0.0,0.0,0.0
27842,sample_27,4.0_hdoop,org.apache.hadoop.mapreduce.task.reduce.testfetcher.testinterruptinmemory,0.0,0.0,0.0,0.0,0.0,1.0
25401,sample_27,4.0_hdoop,org.apache.hadoop.yarn.server.resourcemanager.testresourcetrackerservice.testnoderegistrationwithinvalidlabels,1.0,0.0,0.0,1.0,0.0,0.0
50463,sample_190,5.0_jfreechart,org.jfree.data.time.timetablexydatasettest.testgettimeperiod,0.0,0.0,0.0,0.0,0.0,0.0
35570,sample_190,30.0_joda-time,org.joda.time.format.testdatetimeformat.testformatparse_zoneid_nocolon,0.0,0.0,0.0,1.0,0.0,0.0
22122,sample_25,4.0_hdoop,org.apache.hadoop.hdfs.tools.testdfsadmin.testgetdatanodeinfo,1.0,0.0,0.0,1.0,0.0,0.0
17313,sample_25,21.0_incubator-dubbo,org.apache.dubbo.common.utils.configutilstest.testgetproperty,0.0,0.0,0.0,0.0,0.0,0.0
23306,sample_186,4.0_hdoop,org.apache.hadoop.yarn.client.api.impl.testyarnclientimpl.testasyncapipolltimeouthelper,1.0,1.0,1.0,1.0,1.0,1.0
6079,sample_31,49.0_dropwizard,io.dropwizard.jetty.contextroutinghandlertest.routestothebestprefixmatch,0.0,0.0,0.0,0.0,0.0,0.0
706,sample_31,25.0_marine-api,net.sf.marineapi.nmea.parser.sentenceparsertest.testsetfieldcounthigherbyone,0.0,0.0,0.0,0.0,0.0,0.0
34331,sample_4,30.0_joda-time,org.joda.time.testyears.testconstants,0.0,0.0,0.0,0.0,0.0,0.0
40671,sample_4,45.0_hbase,org.apache.hadoop.hbase.master.assignment.testassignmentmanager.testassignwithgoodexec,0.0,0.0,0.0,0.0,0.0,0.0
17866,sample_4,21.0_incubator-dubbo,org.apache.dubbo.rpc.cluster.router.script.scriptroutertest.testroutereturnall,0.0,0.0,0.0,0.0,1.0,0.0
7508,sample_4,27.0_querydsl,com.querydsl.collections.collqueryfunctionstest.coalesce,0.0,0.0,0.0,0.0,0.0,0.0
35897,sample_178,76.0_achilles,info.archinnov.achilles.it.testschemagenerator.should_build_schema_for_entity_with_static_annotations,0.0,1.0,1.0,0.0,1.0,1.0
10324,sample_178,1.0_struts,org.apache.struts2.util.tokenhelpertest.testsetsessiontoken,0.0,0.0,0.0,0.0,0.0,0.0
25073,sample_30,4.0_hdoop,org.apache.hadoop.yarn.server.applicationhistoryservice.testfilesystemapplicationhistorystore.testreadhistorydata,1.0,0.0,0.0,1.0,0.0,0.0
46895,sample_30,2.0_tyrus,org.glassfish.tyrus.ext.client.java8.sessionbuildertest.testencoderdecoder,0.0,1.0,1.0,0.0,1.0,1.0
23360,sample_30,4.0_hdoop,org.apache.hadoop.yarn.client.api.impl.testyarnclient.testsignalcontainer,1.0,0.0,0.0,1.0,0.0,0.0
34527,sample_30,30.0_joda-time,org.joda.time.chrono.testlenientchronology.test_lenientchrononolgy_chicago,0.0,0.0,0.0,1.0,0.0,0.0
12913,sample_24,15.0_wro4j,ro.isdc.wro.manager.factory.testconfigurablewromanagerfactory.cannotconfigureinvalidrequesthandler,0.0,0.0,0.0,0.0,0.0,0.0
47322,sample_24,53.0_retrofit,retrofit2.adapter.guava.guavacalladapterfactorytest.responsetype,1.0,0.0,0.0,0.0,0.0,0.0
4477,sample_18,18.0_admiral,com.vmware.admiral.adapter.registry.service.registryadapterservicetest.testsameregistrytwodifferentprojectsnotremoveoldtenantlinkshouldfail,0.0,0.0,0.0,0.0,0.0,0.0
4642,sample_18,18.0_admiral,com.vmware.admiral.adapter.docker.service.dockeradapterservicetest.testinspectcontainer,0.0,0.0,0.0,0.0,0.0,0.0
23468,sample_20,4.0_hdoop,org.apache.hadoop.yarn.conf.testhautil.testgetconfkeyforrminstance,0.0,0.0,0.0,0.0,0.0,0.0
43251,sample_20,17.0_fastjson,com.alibaba.json.bvt.bug.issue887.test_for_issue,1.0,0.0,0.0,1.0,0.0,0.0
50680,sample_154,61.0_wildfly,org.jboss.as.test.integration.security.auditing.customauditprovidermoduletest.testgooduser1,0.0,0.0,0.0,0.0,0.0,0.0
1912,sample_154,47.0_rxjava2-extras,com.github.davidmoten.rx2.consumerstest.testarraysnotequalthrows,0.0,0.0,0.0,0.0,0.0,0.0
33714,sample_0,67.0_hutool,cn.hutool.core.util.classutiltest.getpublicmethod,1.0,0.0,0.0,1.0,0.0,0.0
