1965,14,elastic-job-lite,JobCoreConfiguration,io.elasticjob.lite.config.jobcoreconfigurationtest.assertbuildwhenjobnameisnull,False,False
1990,14,elastic-job-lite,DefaultJobExceptionHandler,io.elasticjob.lite.executor.handler.impl.defaultjobexceptionhandlertest.asserthandleexception,False,False
1993,14,elastic-job-lite,JobProperties,io.elasticjob.lite.executor.handler.jobpropertiestest.assertputinvalidkey,False,False
1998,14,elastic-job-lite,ScriptJobExecutor,io.elasticjob.lite.executor.type.scriptjobexecutortest.assertexecutewhenexecutefailureformultipleshardingitems,True,True
2022,14,elastic-job-lite,FailoverListenerManager,io.elasticjob.lite.internal.failover.failoverlistenermanagertest.assertfailoversettingschangedjoblistenerwhenisnotfailoverpath,False,False
2032,14,elastic-job-lite,GuaranteeNode,io.elasticjob.lite.internal.guarantee.guaranteenodetest.assertiscompletedrootnode,False,False
2039,14,elastic-job-lite,ShutdownListenerManager,io.elasticjob.lite.internal.instance.shutdownlistenermanagertest.assertremovelocalinstancepath,False,False
2044,14,elastic-job-lite,TriggerListenerManager,io.elasticjob.lite.internal.instance.triggerlistenermanagertest.asserttriggerwhenjobschedulecontrollerisnull,False,False
2097,14,elastic-job-lite,ShardingItems,io.elasticjob.lite.util.config.shardingitemstest.assertttoitemlistwhennull,False,False
1960,14,elastic-job-lite,AverageAllocationJobShardingStrategy,io.elasticjob.lite.api.strategy.impl.averageallocationjobshardingstrategytest.shardingforserverslessthanshardingcountaliquot,False,False
1962,14,elastic-job-lite,RotateServerByNameJobShardingStrategy,io.elasticjob.lite.api.strategy.impl.rotateserverbynamejobshardingstrategytest.assertsharding3,False,False
1964,14,elastic-job-lite,JobShardingStrategyFactory,io.elasticjob.lite.api.strategy.jobshardingstrategyfactorytest.assertgetstrategyfailurewhenstrategyclassinvalid,False,False
1966,14,elastic-job-lite,LiteJobConfiguration,io.elasticjob.lite.config.litejobconfigurationtest.assertisnotfailover,False,False
1967,14,elastic-job-lite,TaskContext,io.elasticjob.lite.context.taskcontexttest.assertgetexecutorid,True,True
1974,14,elastic-job-lite,JobEventRdbConfiguration,io.elasticjob.lite.event.rdb.jobeventrdbconfigurationtest.assertcreatejobeventlistenerfailure,True,False
1983,14,elastic-job-lite,JobEventRdbStorage,io.elasticjob.lite.event.rdb.jobeventrdbstoragetest.assertaddjobstatustraceevent,False,False
2007,14,elastic-job-lite,ConfigurationService,io.elasticjob.lite.internal.config.configurationservicetest.assertpersistnewjobconfiguration,False,False
2011,14,elastic-job-lite,RescheduleListenerManager,io.elasticjob.lite.internal.config.reschedulelistenermanagertest.assertcronsettingchangedjoblistenerwhenisnotcronpath,False,False
