nameProject,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
achilles,2,0,21,80,1.0,0.024390243902439025,0.22330097087378642,0.047619047619047616,0.07121263112117256
activiti,1,3,10,11,0.25,0.08333333333333333,0.44,0.125,-0.200921260371701
admiral,10,130,243,43,0.07142857142857142,0.18867924528301888,0.5938967136150235,0.10362694300518134,-0.11231756964310677
aismessages,0,2,10,0,0.0,0.0,0.8333333333333334,0.0,0.0
aletheia,0,3,4,0,0.0,0.0,0.5714285714285714,0.0,0.0
alien4cloud,3,9,66,3,0.25,0.5,0.8518518518518519,0.3333333333333333,0.28013971669430454
c2mon,4,22,126,16,0.15384615384615385,0.2,0.7738095238095238,0.17391304347826086,0.04597977971140311
carbon-apimgt,0,5,43,9,0.0,0.0,0.7543859649122807,0.0,-0.13427153888239365
cukes,0,2,13,0,0.0,0.0,0.8666666666666667,0.0,0.0
db-scheduler,1,2,0,5,0.3333333333333333,0.16666666666666666,0.125,0.2222222222222222,-0.7453559924999299
delight-nashorn-sandbox,0,0,0,1,0.0,0.0,0.0,0.0,0.0
dnsjava,11,13,52,43,0.4583333333333333,0.2037037037037037,0.5294117647058824,0.28205128205128205,0.004595389954825062
dropwizard,13,74,174,9,0.14942528735632185,0.5909090909090909,0.6925925925925925,0.23853211009174313,0.17124209602561674
elastic-job-lite,1,10,117,12,0.09090909090909091,0.07692307692307693,0.8428571428571429,0.08333333333333334,-0.0019600020263818092
esper,18,26,53,51,0.4090909090909091,0.2608695652173913,0.4797297297297297,0.3185840707964602,-0.07448380269019463
fastjson,84,89,186,105,0.48554913294797686,0.4444444444444444,0.5818965517241379,0.4640883977900552,0.12275061819803722
fluent-logger-java,0,0,0,2,0.0,0.0,0.0,0.0,0.0
hadoop,284,497,1093,498,0.36363636363636365,0.3631713554987212,0.5805227655986509,0.36340371081254,0.050609206159731496
hbase,185,92,158,291,0.6678700361010831,0.38865546218487396,0.4724517906336088,0.4913678618857901,0.020204371383051006
helios,4,25,66,14,0.13793103448275862,0.2222222222222222,0.6422018348623854,0.1702127659574468,-0.04411614038858756
hsac-fitnesse-fixtures,0,9,44,1,0.0,0.0,0.8148148148148148,0.0,-0.06142951168339512
http-request,0,8,28,0,0.0,0.0,0.7777777777777778,0.0,0.0
hutool,18,22,53,33,0.45,0.35294117647058826,0.5634920634920635,0.39560439560439564,0.0628550108899907
incubator-dubbo,3,63,281,24,0.045454545454545456,0.1111111111111111,0.7654986522911051,0.06451612903225805,-0.04892638483303667
java-websocket,2,1,11,82,0.6666666666666666,0.023809523809523808,0.13541666666666666,0.04597701149425287,-0.1131407055503551
jfreechart,37,31,307,185,0.5441176470588235,0.16666666666666666,0.6142857142857143,0.2551724137931034,0.11224667030337314
jhipster-registry,0,3,8,3,0.0,0.0,0.5714285714285714,0.0,-0.2727272727272727
jimfs,0,14,53,1,0.0,0.0,0.7794117647058824,0.0,-0.06220563626371825
joda-time,6,83,301,5,0.06741573033707865,0.5454545454545454,0.7772151898734178,0.12,0.1296908864371131
junit-quickcheck,1,6,22,10,0.14285714285714285,0.09090909090909091,0.5897435897435898,0.1111111111111111,-0.1446719146698785
luwak,0,1,23,0,0.0,0.0,0.9583333333333334,0.0,0.0
marine-api,2,12,76,1,0.14285714285714285,0.6666666666666666,0.8571428571428571,0.23529411764705882,0.262431940540739
nexus-repository-helm,0,2,2,0,0.0,0.0,0.5,0.0,0.0
noxy,1,0,4,1,1.0,0.5,0.8333333333333334,0.6666666666666666,0.6324555320336759
oci-java-sdk,2,5,25,15,0.2857142857142857,0.11764705882352941,0.574468085106383,0.16666666666666666,-0.06615701550312039
one,0,1,0,1,0.0,0.0,0.0,0.0,-1.0
openpojo,3,31,102,2,0.08823529411764706,0.6,0.7608695652173914,0.15384615384615385,0.15911930584416242
orbit,1,0,8,2,1.0,0.3333333333333333,0.8181818181818182,0.5,0.5163977794943222
oryx,7,23,65,6,0.23333333333333334,0.5384615384615384,0.7128712871287128,0.32558139534883723,0.20307499362360615
otto,3,1,2,1,0.75,0.75,0.7142857142857143,0.75,0.4166666666666667
pippo,0,14,45,1,0.0,0.0,0.75,0.0,-0.07182226486464625
querydsl,30,231,318,6,0.11494252873563218,0.8333333333333334,0.5948717948717949,0.20202020202020202,0.19945297830329606
recast4j,0,1,0,2,0.0,0.0,0.0,0.0,-1.0
redpipe,0,0,0,1,0.0,0.0,0.0,0.0,0.0
retrofit,13,11,39,35,0.5416666666666666,0.2708333333333333,0.5306122448979592,0.36111111111111105,0.0590925496947748
riptide,1,5,43,7,0.16666666666666666,0.125,0.7857142857142857,0.14285714285714288,0.023570226039551584
rxjava2-extras,2,26,50,12,0.07142857142857142,0.14285714285714285,0.5777777777777777,0.09523809523809523,-0.1559876396493123
sawmill,4,4,10,49,0.5,0.07547169811320754,0.208955223880597,0.13114754098360656,-0.2636037877554122
search-highlighter,6,1,25,15,0.8571428571428571,0.2857142857142857,0.6595744680851063,0.42857142857142855,0.3452696714118694
spring-boot,0,4,12,4,0.0,0.0,0.6,0.0,-0.25
spring-cloud-zuul-ratelimit,0,3,4,8,0.0,0.0,0.26666666666666666,0.0,-0.5345224838248488
spring-ws,16,9,50,78,0.64,0.1702127659574468,0.43137254901960786,0.2689075630252101,0.02326275538183908
struts,2,13,88,2,0.13333333333333333,0.5,0.8571428571428571,0.2105263157894737,0.20311111592559689
timely,8,3,21,24,0.7272727272727273,0.25,0.5178571428571429,0.37209302325581395,0.1556997888323046
tyrus,0,7,31,0,0.0,0.0,0.8157894736842105,0.0,0.0
undertow,0,1,1,3,0.0,0.0,0.2,0.0,-0.6123724356957946
unix4j,3,9,59,6,0.25,0.3333333333333333,0.8051948051948052,0.28571428571428575,0.17802545278729293
vertexium,42,7,14,21,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.75,0.2927700218845599
vertx-completable-future,0,0,12,0,0.0,0.0,1.0,0.0,0.0
vertx-mqtt,0,0,0,3,0.0,0.0,0.0,0.0,0.0
webcollector,0,0,2,1,0.0,0.0,0.6666666666666666,0.0,0.0
wikidata-toolkit,5,53,128,14,0.08620689655172414,0.2631578947368421,0.665,0.12987012987012989,-0.01916575423700924
wildfly,0,3,14,0,0.0,0.0,0.8235294117647058,0.0,0.0
wildfly-maven-plugin,0,1,0,1,0.0,0.0,0.0,0.0,-1.0
wro4j,1,183,159,0,0.005434782608695652,1.0,0.46647230320699706,0.010810810810810811,0.05026626281838472
yawp,0,3,47,0,0.0,0.0,0.94,0.0,0.0
total,840,1912,5022,1859,0.30523255813953487,0.3112263801407929,0.6085331672376206,0.3082003302146395,0.035275389219403964
