nameProject,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
achilles,6,0,65,32,1.0,0.15789473684210525,0.6893203883495146,0.2727272727272727,0.32527796035411377
activiti,0,2,21,2,0.0,0.0,0.84,0.0,-0.08695652173913043
admiral,5,9,276,136,0.35714285714285715,0.03546099290780142,0.6596244131455399,0.06451612903225808,0.010246604797311376
aismessages,0,0,12,0,0.0,0.0,1.0,0.0,0.0
aletheia,0,0,7,0,0.0,0.0,1.0,0.0,0.0
alien4cloud,4,8,69,0,0.3333333333333333,1.0,0.9012345679012346,0.5,0.5465357250000211
c2mon,0,26,142,0,0.0,0.0,0.8452380952380952,0.0,0.0
carbon-apimgt,4,0,24,29,1.0,0.12121212121212122,0.49122807017543857,0.21621621621621626,0.23428296506296908
cukes,0,2,11,2,0.0,0.0,0.7333333333333333,0.0,-0.15384615384615385
db-scheduler,0,0,8,0,0.0,0.0,1.0,0.0,0.0
delight-nashorn-sandbox,0,0,1,0,0.0,0.0,1.0,0.0,0.0
dnsjava,0,0,118,1,0.0,0.0,0.9915966386554622,0.0,0.0
dropwizard,10,36,208,16,0.21739130434782608,0.38461538461538464,0.8074074074074075,0.27777777777777773,0.18602157798611357
elastic-job-lite,6,19,98,17,0.24,0.2608695652173913,0.7428571428571429,0.24999999999999994,0.09527305700330505
esper,1,20,127,0,0.047619047619047616,1.0,0.8648648648648649,0.0909090909090909,0.20283063286905545
fastjson,3,5,456,0,0.375,1.0,0.9892241379310345,0.5454545454545454,0.6090424902095865
fluent-logger-java,0,0,0,2,0.0,0.0,0.0,0.0,0.0
hadoop,386,423,1389,174,0.47713226205191595,0.6892857142857143,0.7483136593591906,0.5639152666179693,0.408351074908799
hbase,40,83,553,50,0.3252032520325203,0.4444444444444444,0.8168044077134986,0.3755868544600939,0.2757954219001846
helios,0,6,103,0,0.0,0.0,0.944954128440367,0.0,0.0
hsac-fitnesse-fixtures,10,4,39,1,0.7142857142857143,0.9090909090909091,0.9074074074074074,0.8,0.750002516858759
http-request,0,4,31,1,0.0,0.0,0.8611111111111112,0.0,-0.05976143046671968
hutool,8,8,104,6,0.5,0.5714285714285714,0.8888888888888888,0.5333333333333333,0.47193990372426947
incubator-dubbo,8,24,293,46,0.25,0.14814814814814814,0.8113207547169812,0.18604651162790697,0.09099558804052496
java-websocket,0,0,17,79,0.0,0.0,0.17708333333333334,0.0,0.0
jfreechart,0,0,559,1,0.0,0.0,0.9982142857142857,0.0,0.0
jhipster-registry,0,1,13,0,0.0,0.0,0.9285714285714286,0.0,0.0
jimfs,18,8,36,6,0.6923076923076923,0.75,0.7941176470588235,0.7199999999999999,0.5587376953345927
joda-time,0,0,395,0,0.0,0.0,1.0,0.0,0.0
junit-quickcheck,0,1,38,0,0.0,0.0,0.9743589743589743,0.0,0.0
luwak,0,2,22,0,0.0,0.0,0.9166666666666666,0.0,0.0
marine-api,0,1,90,0,0.0,0.0,0.989010989010989,0.0,0.0
nexus-repository-helm,1,0,3,0,1.0,1.0,1.0,1.0,1.0
noxy,0,0,6,0,0.0,0.0,1.0,0.0,0.0
oci-java-sdk,4,6,32,5,0.4,0.4444444444444444,0.7659574468085106,0.4210526315789474,0.27549401006403046
one,0,1,0,1,0.0,0.0,0.0,0.0,-1.0
openpojo,2,1,135,0,0.6666666666666666,1.0,0.9927536231884058,0.8,0.8134892168199607
orbit,0,2,9,0,0.0,0.0,0.8181818181818182,0.0,0.0
oryx,8,3,61,29,0.7272727272727273,0.21621621621621623,0.6831683168316832,0.33333333333333337,0.26190025802630507
otto,0,0,7,0,0.0,0.0,1.0,0.0,0.0
pippo,0,10,50,0,0.0,0.0,0.8333333333333334,0.0,0.0
querydsl,20,12,426,127,0.625,0.1360544217687075,0.7623931623931623,0.223463687150838,0.207260491336514
recast4j,0,0,1,2,0.0,0.0,0.3333333333333333,0.0,0.0
redpipe,0,0,0,1,0.0,0.0,0.0,0.0,0.0
retrofit,1,2,90,5,0.3333333333333333,0.16666666666666666,0.9285714285714286,0.2222222222222222,0.20169634027201722
riptide,0,2,48,6,0.0,0.0,0.8571428571428571,0.0,-0.06666666666666667
rxjava2-extras,3,9,78,0,0.25,1.0,0.9,0.4,0.4734320764739993
sawmill,0,1,26,40,0.0,0.0,0.3880597014925373,0.0,-0.14982219165849825
search-highlighter,0,0,47,0,0.0,0.0,1.0,0.0,0.0
spring-boot,3,2,11,4,0.6,0.42857142857142855,0.7,0.5,0.30261376633440124
spring-cloud-zuul-ratelimit,0,0,15,0,0.0,0.0,1.0,0.0,0.0
spring-ws,8,51,85,9,0.13559322033898305,0.47058823529411764,0.6078431372549019,0.21052631578947367,0.06171751427834858
struts,7,17,68,13,0.2916666666666667,0.35,0.7142857142857143,0.31818181818181823,0.14027090192169553
timely,0,0,41,15,0.0,0.0,0.7321428571428571,0.0,0.0
tyrus,0,0,24,14,0.0,0.0,0.631578947368421,0.0,0.0
undertow,1,0,4,0,1.0,1.0,1.0,1.0,1.0
unix4j,3,5,67,2,0.375,0.6,0.9090909090909091,0.4615384615384615,0.42846226372129004
vertexium,0,1,81,2,0.0,0.0,0.9642857142857143,0.0,-0.01714229740350895
vertx-completable-future,0,0,12,0,0.0,0.0,1.0,0.0,0.0
vertx-mqtt,0,3,0,0,0.0,0.0,0.0,0.0,0.0
webcollector,2,0,0,1,1.0,0.6666666666666666,0.6666666666666666,0.8,0.0
wikidata-toolkit,6,20,160,14,0.23076923076923078,0.3,0.83,0.2608695652173913,0.16849862614418157
wildfly,0,3,14,0,0.0,0.0,0.8235294117647058,0.0,0.0
wildfly-maven-plugin,0,0,2,0,0.0,0.0,1.0,0.0,0.0
wro4j,35,50,230,28,0.4117647058823529,0.5555555555555556,0.7725947521865889,0.47297297297297297,0.3381061255591941
yawp,2,0,46,2,1.0,0.5,0.96,0.6666666666666666,0.6922186552431729
total,615,893,7204,921,0.4078249336870027,0.400390625,0.8116889857780546,0.40407358738501975,0.29227881532583916
