nameProject,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
achilles,0,0,103,0,0,0,1.0,0.0,0.0
activiti,0,0,25,0,0,0,1.0,0.0,0.0
admiral,0,0,426,0,0,0,1.0,0.0,0.0
aismessages,0,0,12,0,0,0,1.0,0.0,0.0
aletheia,0,0,7,0,0,0,1.0,0.0,0.0
alien4cloud,0,0,81,0,0,0,1.0,0.0,0.0
c2mon,0,0,168,0,0,0,1.0,0.0,0.0
carbon-apimgt,0,0,57,0,0,0,1.0,0.0,0.0
cukes,0,0,15,0,0,0,1.0,0.0,0.0
db-scheduler,0,0,8,0,0,0,1.0,0.0,0.0
delight-nashorn-sandbox,0,0,1,0,0,0,1.0,0.0,0.0
dnsjava,0,0,118,1,0,0,0.9915966386554622,0.0,0.0
dropwizard,0,1,269,0,0,0,0.9962962962962963,0.0,0.0
elastic-job-lite,0,1,139,0,0,0,0.9928571428571429,0.0,0.0
esper,0,0,148,0,0,0,1.0,0.0,0.0
fastjson,0,2,461,1,0.0,0.0,0.9935344827586207,0.0,-0.0030577608406382384
fluent-logger-java,0,0,2,0,0,0,1.0,0.0,0.0
hadoop,0,24,2325,23,0.0,0.0,0.980185497470489,0.0,-0.010004122112589098
hbase,0,7,715,4,0.0,0.0,0.9848484848484849,0.0,-0.0073442249681188836
helios,0,0,108,1,0,0,0.9908256880733946,0.0,0.0
hsac-fitnesse-fixtures,0,0,54,0,0,0,1.0,0.0,0.0
http-request,0,0,36,0,0,0,1.0,0.0,0.0
hutool,0,1,124,1,0.0,0.0,0.9841269841269841,0.0,-0.008
incubator-dubbo,0,0,371,0,0,0,1.0,0.0,0.0
java-websocket,0,0,96,0,0,0,1.0,0.0,0.0
jfreechart,0,0,560,0,0,0,1.0,0.0,0.0
jhipster-registry,0,0,14,0,0,0,1.0,0.0,0.0
jimfs,0,0,68,0,0,0,1.0,0.0,0.0
joda-time,0,0,395,0,0,0,1.0,0.0,0.0
junit-quickcheck,0,0,39,0,0,0,1.0,0.0,0.0
luwak,0,0,24,0,0,0,1.0,0.0,0.0
marine-api,0,0,91,0,0,0,1.0,0.0,0.0
nexus-repository-helm,0,0,4,0,0,0,1.0,0.0,0.0
noxy,0,0,6,0,0,0,1.0,0.0,0.0
oci-java-sdk,0,0,47,0,0,0,1.0,0.0,0.0
one,0,0,2,0,0,0,1.0,0.0,0.0
openpojo,0,0,138,0,0,0,1.0,0.0,0.0
orbit,0,0,11,0,0,0,1.0,0.0,0.0
oryx,0,0,101,0,0,0,1.0,0.0,0.0
otto,0,0,7,0,0,0,1.0,0.0,0.0
pippo,0,1,59,0,0,0,0.9833333333333333,0.0,0.0
querydsl,0,5,580,0,0,0,0.9914529914529915,0.0,0.0
recast4j,0,0,3,0,0,0,1.0,0.0,0.0
redpipe,0,0,0,1,0,0,0.0,0.0,0.0
retrofit,0,0,98,0,0,0,1.0,0.0,0.0
riptide,0,1,55,0,0,0,0.9821428571428571,0.0,0.0
rxjava2-extras,0,0,90,0,0,0,1.0,0.0,0.0
sawmill,0,0,66,1,0,0,0.9850746268656716,0.0,0.0
search-highlighter,0,0,47,0,0,0,1.0,0.0,0.0
spring-boot,0,0,20,0,0,0,1.0,0.0,0.0
spring-cloud-zuul-ratelimit,0,0,15,0,0,0,1.0,0.0,0.0
spring-ws,0,0,153,0,0,0,1.0,0.0,0.0
struts,0,0,96,9,0,0,0.9142857142857143,0.0,0.0
timely,0,0,56,0,0,0,1.0,0.0,0.0
tyrus,0,0,38,0,0,0,1.0,0.0,0.0
undertow,0,0,5,0,0,0,1.0,0.0,0.0
unix4j,0,0,76,1,0,0,0.987012987012987,0.0,0.0
vertexium,0,0,84,0,0,0,1.0,0.0,0.0
vertx-completable-future,0,0,12,0,0,0,1.0,0.0,0.0
vertx-mqtt,0,0,3,0,0,0,1.0,0.0,0.0
webcollector,0,0,3,0,0,0,1.0,0.0,0.0
wikidata-toolkit,0,0,200,0,0,0,1.0,0.0,0.0
wildfly,0,0,17,0,0,0,1.0,0.0,0.0
wildfly-maven-plugin,0,0,2,0,0,0,1.0,0.0,0.0
wro4j,0,0,342,1,0,0,0.9970845481049563,0.0,0.0
yawp,0,0,50,0,0,0,1.0,0.0,0.0
total,0,43,9546,44,0.0,0.0,0.990968545624416,0.0,-0.0045359118203231776
