id,idProject,testCase,EagerTest,MysteryGuest,ResourceOptimism,TestRedundancy
33714,67.0_hutool,cn.hutool.core.util.classutiltest.getpublicmethod,1.0,0.0,0.0,0.0
39205,45.0_hbase,org.apache.hadoop.hbase.regionserver.teststripestorefilemanager.testemptyresultsforstripes,0.0,0.0,0.0,0.0
14987,41.0_elastic-job-lite,io.elasticjob.lite.internal.instance.shutdownlistenermanagertest.assertremovelocalinstancepath,0.0,1.0,0.0,0.0
19255,4.0_hdoop,org.apache.hadoop.fs.testfilterfilesystem.testfilterembednoinit,0.0,0.0,0.0,0.0
35783,30.0_joda-time,org.joda.time.format.testperiodformatterbuilder.testformatprintzerorarelylast,0.0,0.0,0.0,0.0
45622,71.0_spring-ws,org.springframework.ws.test.client.responsecreatorstest.withsoapenveloperesource,1.0,0.0,0.0,0.0
42912,17.0_fastjson,com.alibaba.fastjson.parser.jsonscannertest.checktime13,1.0,0.0,0.0,0.0
10218,1.0_struts,org.apache.struts2.rest.defaulthttpheaderstest.testapply,0.0,0.0,0.0,0.0
14207,11.0_wikidata-toolkit,org.wikidata.wdtk.datamodel.implementation.itemidvalueimpltest.idvalidatedforlength,0.0,0.0,0.0,0.0
13352,15.0_wro4j,ro.isdc.wro.model.resource.processor.decorator.testsupportawareprocessordecorator.cannotdecoratenullprocessor,0.0,0.0,0.0,0.0
28320,4.0_hdoop,org.apache.hadoop.mapred.testfileoutputcommitter.testmaponlynooutputv2,0.0,1.0,0.0,0.0
35130,30.0_joda-time,org.joda.time.field.testbasedatetimefield.test_get,0.0,0.0,0.0,0.0
1256,29.0_c2mon,cern.c2mon.shared.client.tag.transfertagvalueimpltest.testfloatjsonmsg,0.0,0.0,0.0,0.0
31902,4.0_hdoop,org.apache.hadoop.hdds.scm.command.testcommandstatusreporthandler.testcommandstatusreport,0.0,0.0,0.0,0.0
21988,4.0_hdoop,org.apache.hadoop.net.testnetworktopologywithnodegroup.testaddnodewithinvalidtopology,0.0,0.0,0.0,0.0
17011,21.0_incubator-dubbo,org.apache.dubbo.common.status.support.statusutilstest.testgetsummarystatus1,0.0,0.0,0.0,0.0
34331,30.0_joda-time,org.joda.time.testyears.testconstants,0.0,0.0,0.0,0.0
40671,45.0_hbase,org.apache.hadoop.hbase.master.assignment.testassignmentmanager.testassignwithgoodexec,0.0,0.0,0.0,0.0
17866,21.0_incubator-dubbo,org.apache.dubbo.rpc.cluster.router.script.scriptroutertest.testroutereturnall,0.0,0.0,0.0,0.0
7508,27.0_querydsl,com.querydsl.collections.collqueryfunctionstest.coalesce,0.0,0.0,0.0,0.0
4922,18.0_admiral,com.vmware.admiral.compute.elasticplacementzoneconfigurationservicetest.testgetnonexistent,0.0,0.0,0.0,0.0
48810,5.0_jfreechart,org.jfree.chart.block.blockbordertest.testcloning,0.0,0.0,0.0,0.0
28267,4.0_hdoop,org.apache.hadoop.mapred.testjobaclsmanager.testgroups,0.0,0.0,0.0,0.0
49736,5.0_jfreechart,org.jfree.data.xy.xyintervaldataitemtest.testconstructor1,0.0,0.0,0.0,0.0
39401,45.0_hbase,org.apache.hadoop.hbase.regionserver.testhregion.testget_empty,1.0,1.0,1.0,0.0
864,25.0_marine-api,net.sf.marineapi.ais.parser.aispositionreportbparsertest.gettimestamp,0.0,0.0,0.0,0.0
37214,45.0_hbase,org.apache.hadoop.hbase.testhtabledescriptor.testaddduplicatefamilies,1.0,0.0,0.0,0.0
44426,17.0_fastjson,com.alibaba.json.bvt.path.jsonpath_field_access_filter_like.test_list_like_right_match,1.0,0.0,0.0,0.0
44068,17.0_fastjson,com.alibaba.json.bvt.issue_1400.issue1498.test_for_issue,0.0,0.0,0.0,0.0
10403,1.0_struts,org.apache.struts2.dispatcher.mapper.restfulactionmappertest.testgeturiparamid,0.0,0.0,0.0,0.0
16400,21.0_incubator-dubbo,org.apache.dubbo.config.providerconfigtest.testaccepts,0.0,0.0,0.0,0.0
33646,67.0_hutool,cn.hutool.core.util.idutiltest.benchtest,1.0,0.0,0.0,0.0
38310,45.0_hbase,org.apache.hadoop.hbase.zookeeper.testzkconfig.testclusterkey,0.0,0.0,0.0,0.0
16117,72.0_java-websocket,org.java_websocket.autobahn.autobahnserverresults.test9_5_6,1.0,1.0,0.0,0.0
445,28.0_oryx,com.cloudera.oryx.common.lang.classutilstest.testloadnonexistentclass,0.0,1.0,1.0,0.0
33505,67.0_hutool,cn.hutool.core.text.strbuildertest.inserttest2,0.0,0.0,0.0,0.0
4380,18.0_admiral,com.vmware.admiral.request.pks.pksclusterprovisioningtaskservicetest.testgetfailedcallbackresponse,0.0,0.0,0.0,0.0
13961,11.0_wikidata-toolkit,org.wikidata.wdtk.wikibaseapi.basicapiconnectiontest.testdeserialize,0.0,0.0,0.0,0.0
35862,76.0_achilles,info.archinnov.achilles.it.testentitywithstaticannotations.should_insert_overriding_static_conf,1.0,0.0,0.0,0.0
1649,29.0_c2mon,cern.c2mon.server.cache.rule.ruletagcachetest.testcacheloading,1.0,0.0,0.0,0.0
50263,5.0_jfreechart,org.jfree.data.general.datasetutilstest.testfindmaximumrangevalue,1.0,0.0,0.0,0.0
11132,35.0_hsac-fitnesse-fixtures,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testreplaceallwithregexin,0.0,0.0,0.0,0.0
19322,4.0_hdoop,org.apache.hadoop.hdfs.web.testtokenaspect.testinitwithugitoken,0.0,0.0,0.0,0.0
40472,45.0_hbase,org.apache.hadoop.hbase.errorhandling.testforeignexceptiondispatcher.testerrorpropagation,0.0,0.0,0.0,0.0
10686,66.0_sawmill,io.logz.sawmill.executionstepsparsertest.testparseonsuccessexecutionstep,1.0,0.0,0.0,0.0
51140,37.0_jimfs,com.google.common.jimfs.filesystemstatetest.testclose_multipletimesdonothing,0.0,0.0,0.0,0.0
